,name,price,total_sales_volume,month_sales_volume,month_revenue,total_revenue,rating_product,total_rating_product,inventory,monthly_event,favorite_product,discount,company,shop_name,shopee_mall,shop_total_review,total_products,response_rate,time_response,experience(unit: month),follower,store_location,special_shop,product_url,rating_rate,segmentation
38,"điện thoại mini l8star 3310 2 sim 2 sóng đảm bảo đúng hình 100%, bh 6 tháng,1 đổi 1 trong vòng 7 ngày",74460.0,778.0,110.0,8190600.0,57929880.0,5.0,40.0,1708.0,0,1,0.32,Camera Và Đồng Hồ Thông Minh,thienhuong0202,0,11000.0,177.0,0.95,0,31.0,621.0,Nam Định,1,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-mini-L8STAR-3310-2-sim-2-s%C3%B3ng-%C4%91%E1%BA%A3m-b%E1%BA%A3o-%C4%91%C3%BAng-h%C3%ACnh-100-BH-6-th%C3%A1ng-1-%C4%91%E1%BB%95i-1-trong-v%C3%B2ng-7-ng%C3%A0y-i.132136656.2091893162?position=40,0.05141388174807198,Ultra_Low_end
39,điện thoại oppo a15s (4gb/64gb) - hàng chính hãng,3600500.0,175.0,101.0,363650500.0,630087500.0,5.0,43.0,1.0,1,0,0.05,oppo_authorized_store_vn,oppo_authorized_store_vn,1,547.0,28.0,1.0,0,4.0,141100.0,TP. Hồ Chí Minh,0,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-OPPO-A15s-(4GB-64GB)-H%C3%A0ng-Ch%C3%ADnh-H%C3%A3ng-i.458675969.10011334725?position=41,0.24571428571428572,Low_end
41,"điện thoại xiaomi redmi k40 gaming, enhanced edition 6/128, 12/128gb - hàng nhập khẩu",8202360.0,141.0,99.0,812033640.0,1156532760.0,4.96,86.0,96.0,1,1,0.13,shopnamkhanhhanoi,shopnamkhanhhanoi,0,69000.0,584.0,0.65,0,48.0,11300.0,Hà Nội,1,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Xiaomi-Redmi-K40-Gaming-Enhanced-Edition-6-128-12-128GB-H%C3%A0ng-nh%E1%BA%ADp-kh%E1%BA%A9u-i.52809472.12402915522?position=43,0.6099290780141844,Mid_to_High_end
42,điện thoại oppo a54 (6gb/128gb) - hàng chính hãng,4140500.0,167.0,95.0,393347500.0,691463500.0,5.0,50.0,1.0,1,0,0.09,oppo_authorized_store_vn,oppo_authorized_store_vn,1,547.0,28.0,1.0,0,4.0,141100.0,TP. Hồ Chí Minh,0,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-OPPO-A54-(6GB-128GB)-H%C3%A0ng-Ch%C3%ADnh-H%C3%A3ng-i.458675969.13009311719?position=44,0.2994011976047904,Mid_end
43,điện thoại xiaomi poco m3 64gb - hàng chính hãng,3192000.0,22000.0,89.0,284088000.0,70224000000.0,4.92,433.0,17.0,1,0,0.2,Xiaomi Authorized Store,xiaomi_authorized_store,1,36000.0,100.0,1.0,0,48.0,79700.0,TP. Hồ Chí Minh,0,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Xiaomi-POCO-M3-64GB-H%C3%A0ng-Ch%C3%ADnh-H%C3%A3ng-i.53452181.10214585155?position=45,0.019681818181818182,Low_end
44,điện thoại vsmart joy 4 (4gb/64gb) - hàng chính hãng,2547045.0,791.0,84.0,213951780.0,2014712595.0,4.92,398.0,0.0,1,0,0.19,quynhvienthong,quynhvienthong,0,871.0,59.0,0.97,0,7.0,1800.0,Nam Định,1,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Vsmart-Joy-4-(4GB-64GB)-H%C3%A0ng-ch%C3%ADnh-h%C3%A3ng-i.407016717.9930204589?position=46,0.5031605562579013,Low_end
45,điện thoại poco f3 (6gb+128gb),7948800.0,328.0,84.0,667699200.0,2607206400.0,4.89,177.0,393.0,1,0,0.08,xiaomivn_official_store,xiaomivn_official_store,1,198000.0,125.0,0.95,0,24.0,125600.0,TP. Hồ Chí Minh,0,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-POCO-F3-(6GB-128GB)-i.191065034.10503840526?position=47,0.5396341463414634,Mid_to_High_end
46,điện thoại vsmart joy 4 (4gb/64gb) - hàng chính hãng,3590000.0,328.0,82.0,294380000.0,1177520000.0,4.97,160.0,6.0,1,0,0.0,Long Hưng Mobile Mall,longhung_mobile,1,27000.0,569.0,1.0,0,11.0,20800.0,Bến Tre,0,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Vsmart-Joy-4-(4GB-64GB)-H%C3%A0ng-ch%C3%ADnh-h%C3%A3ng-i.331695868.4962557783?position=48,0.4878048780487805,Low_end
47,điện thoại xiaomi redmi note 3 pro 2 sim - snap 650 màn 5.5 inch,740720.0,24000.0,81.0,59998320.0,17777280000.0,4.7,925.0,0.0,1,1,0.06,Thế Linh Store,thelinhstore,0,22000.0,500.0,0.93,0,48.0,60100.0,Nghệ An,0,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Xiaomi-Redmi-Note-3-Pro-2-Sim-Snap-650-M%C3%A0n-5.5-inch-i.49282974.1488375003?position=49,0.03854166666666667,Ultra_Low_end
48,điện thoại samsung galaxy s21 ultra 5g (12gb/128gb) - hàng chính hãng,20290000.0,239.0,81.0,1643490000.0,4849310000.0,4.8,105.0,26.0,1,0,0.0,SAMSUNG OFFICIAL SHOP,samsung_official_store,1,397000.0,367.0,0.99,0,36.0,342200.0,TP. Hồ Chí Minh,0,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Samsung-Galaxy-S21-Ultra-5G-(12GB-128GB)-H%C3%A0ng-Ch%C3%ADnh-H%C3%A3ng-i.65589552.9806110860?position=50,0.4393305439330544,High_end
49,điện thoại xiaomi redmi k40 6/128 nguyên seal,6742400.0,368.0,79.0,532649600.0,2481203200.0,4.96,119.0,266.0,1,1,0.14,mimedia,mimedia,0,59000.0,179.0,0.88,0,23.0,44500.0,Nam Định,1,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Xiaomi-Redmi-K40-6-128-nguy%C3%AAn-seal-i.199249933.9429978469?position=51,0.3233695652173913,Mid_end
52,[mã skamsale10 giảm 10% đơn 200k] điện thoại samsung galaxy a12 (4gb/128gb) - hàng chính hãng,3101650.0,647.0,71.0,220217150.0,2006767550.0,4.97,180.0,504.0,1,0,0.15,Long Hưng Mobile,longhung_mobilestore,0,101000.0,1000.0,1.0,0,48.0,22100.0,Bến Tre,1,https://shopee.vn/-M%C3%A3-SKAMSALE10-gi%E1%BA%A3m-10-%C4%91%C6%A1n-200K-%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Samsung-Galaxy-A12-(4GB-128GB)-H%C3%A0ng-ch%C3%ADnh-h%C3%A3ng-i.40757878.6970564259?position=54,0.2782071097372488,Low_end
53,điện thoại xiaomi redmi note 10s (8gb-128gb) - hàng chính hãng,6490000.0,907.0,70.0,454300000.0,5886430000.0,4.94,220.0,34.0,1,0,0.0,Thegioimi_Mistore ,xiaomi_thegioimi,1,14000.0,212.0,1.0,0,11.0,63100.0,TP. Hồ Chí Minh,0,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Xiaomi-Redmi-Note-10S-(8GB-128GB)-H%C3%A0ng-Ch%C3%ADnh-H%C3%A3ng-i.340431675.10006406047?position=55,0.24255788313120177,Mid_end
54,điện thoại samsung galaxy a72 (8gb/128gb) - hàng chính hãng,9996300.0,126.0,70.0,699741000.0,1259533800.0,4.93,56.0,23.0,1,0,0.13,SAMSUNG OFFICIAL SHOP,samsung_official_store,1,397000.0,367.0,0.99,0,36.0,342200.0,TP. Hồ Chí Minh,0,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Samsung-Galaxy-A72-(8GB-128GB)-H%C3%A0ng-Ch%C3%ADnh-H%C3%A3ng-i.65589552.10919847886?position=56,0.4444444444444444,Mid_to_High_end
55,"điện thoại xiaomi poco x3 pro 6.67"" | snap 860 | 6g | 128g | 48+8+2+2mp | 20mp | 5160mah - hàng chính hãng digiworld",6990000.0,595.0,67.0,468330000.0,4159050000.0,4.94,167.0,46.0,1,0,0.0,Thegioimi_Mistore ,xiaomi_thegioimi,1,14000.0,212.0,1.0,0,11.0,63100.0,TP. Hồ Chí Minh,0,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-XIAOMI-POCO-X3-PRO-6.67-SNAP-860-6G-128G-48-8-2-2MP-20MP-5160mAh-H%C3%A0ng-ch%C3%ADnh-h%C3%A3ng-Digiworld-i.340431675.9634308263?position=57,0.280672268907563,Mid_end
56,điện thoại nokia 105 dual sim (2019) - hàng chính hãng,329280.0,745.0,68.0,22391040.0,245313600.0,4.9,227.0,9.0,1,0,0.04,Nokia Mobile Official Store,nokia_official_store,1,32000.0,35.0,1.0,0,36.0,10000.0,TP. Hồ Chí Minh,0,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Nokia-105-Dual-Sim-(2019)-H%C3%A0ng-Ch%C3%ADnh-H%C3%A3ng-i.66829677.3553244494?position=58,0.3046979865771812,Ultra_Low_end
57,điện thoại nokia 105 single sim (2019) - hàng chính hãng,361900.0,12000.0,63.0,22799700.0,4342800000.0,4.9,487.0,0.0,1,0,0.06,Nokia Mobile Official Store,nokia_official_store,1,32000.0,35.0,1.0,0,36.0,10000.0,TP. Hồ Chí Minh,0,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Nokia-105-Single-Sim-(2019)-H%C3%A0ng-Ch%C3%ADnh-H%C3%A3ng-i.66829677.4553148635?position=60,0.04058333333333333,Ultra_Low_end
